INFORMAÇÕES DO GUI
Tempo: 0 sec
[IDbola:0(  rad: 3, mass: 3, x: 5, y: 5, vx: -2.01655, vy: 9.64419 );
IDbola:1(  rad: 2, mass: 1, x: 5, y: 105, vx: -8.7447, vy: -3.2349 );
IDbola:2(  rad: 1, mass: 9, x: 5, y: 205, vx: 3.99879, vy: 9.84821 );
IDbola:3(  rad: 2, mass: 2, x: 5, y: 305, vx: -9.72599, vy: -5.3045 );
IDbola:4(  rad: 2, mass: 3, x: 5, y: 405, vx: -6.14569, vy: 1.22513 );
IDbola:5(  rad: 2, mass: 5, x: 5, y: 505, vx: 2.60326, vy: 7.92298 );
IDbola:6(  rad: 1, mass: 6, x: 5, y: 605, vx: -9.40051, vy: -6.74206 );
IDbola:7(  rad: 1, mass: 6, x: 5, y: 705, vx: -2.00344, vy: -2.93499 );
IDbola:8(  rad: 1, mass: 8, x: 5, y: 805, vx: 2.94451, vy: 4.31445 );
IDbola:9(  rad: 2, mass: 6, x: 5, y: 905, vx: 0.406542, vy: 7.59229 );
IDbola:10(  rad: 3, mass: 7, x: 5, y: 1005, vx: -1.15962, vy: -4.50214 );
IDbola:11(  rad: 3, mass: 5, x: 5, y: 1105, vx: -3.48822, vy: -4.99972 );
IDbola:12(  rad: 3, mass: 8, x: 5, y: 1205, vx: -1.57044, vy: -2.58277 );
IDbola:13(  rad: 1, mass: 4, x: 5, y: 1305, vx: -0.192987, vy: 5.72307 );
IDbola:14(  rad: 2, mass: 1, x: 5, y: 1405, vx: 5.25798, vy: -8.90096 );
IDbola:15(  rad: 3, mass: 2, x: 5, y: 1505, vx: -8.35323, vy: -5.07232 );
IDbola:16(  rad: 1, mass: 4, x: 5, y: 1605, vx: 2.87677, vy: 3.06309 );
IDbola:17(  rad: 1, mass: 10, x: 5, y: 1705, vx: -9.48685, vy: -7.91894 );
IDbola:18(  rad: 1, mass: 10, x: 5, y: 1805, vx: 3.96125, vy: 0.232454 );
IDbola:19(  rad: 3, mass: 4, x: 5, y: 1905, vx: 3.04957, vy: -6.70664 );
IDbola:20(  rad: 2, mass: 8, x: 5, y: 2005, vx: -2.52429, vy: -6.48856 );
IDbola:21(  rad: 1, mass: 6, x: 5, y: 2105, vx: -1.16002, vy: 7.88283 );
IDbola:22(  rad: 1, mass: 6, x: 5, y: 2205, vx: 6.54519, vy: 2.43259 );
IDbola:23(  rad: 1, mass: 10, x: 5, y: 2305, vx: 6.26321, vy: 9.54562 );
IDbola:24(  rad: 2, mass: 7, x: 5, y: 2405, vx: 5.64217, vy: -9.96448 );
IDbola:25(  rad: 2, mass: 8, x: 5, y: 2505, vx: -8.50545, vy: -1.14416 );
IDbola:26(  rad: 2, mass: 8, x: 5, y: 2605, vx: -1.54302, vy: -9.15736 );
IDbola:27(  rad: 3, mass: 8, x: 5, y: 2705, vx: 3.95417, vy: 9.13185 );
IDbola:28(  rad: 3, mass: 9, x: 5, y: 2805, vx: 4.81495, vy: 5.89617 );
IDbola:29(  rad: 2, mass: 4, x: 5, y: 2905, vx: -1.7762, vy: 9.98082 );
IDbola:30(  rad: 3, mass: 9, x: 5, y: 3005, vx: -6.59755, vy: -0.411578 );
IDbola:31(  rad: 1, mass: 4, x: 5, y: 3105, vx: 0.448864, vy: 1.4933 );
IDbola:32(  rad: 2, mass: 5, x: 5, y: 3205, vx: 2.142, vy: 9.06943 );
IDbola:33(  rad: 3, mass: 1, x: 5, y: 3305, vx: 0.417966, vy: 2.03845 );
IDbola:34(  rad: 1, mass: 6, x: 5, y: 3405, vx: 1.55687, vy: 6.08673 );
IDbola:35(  rad: 1, mass: 4, x: 5, y: 3505, vx: 5.54119, vy: -2.46228 );
IDbola:36(  rad: 1, mass: 8, x: 5, y: 3605, vx: 8.06557, vy: 7.08697 );
IDbola:37(  rad: 3, mass: 5, x: 5, y: 3705, vx: -5.50772, vy: 0.184606 );
IDbola:38(  rad: 2, mass: 8, x: 5, y: 3805, vx: 5.99168, vy: 7.96607 );
IDbola:39(  rad: 1, mass: 10, x: 5, y: 3905, vx: 1.30869, vy: -4.31285 );
IDbola:40(  rad: 2, mass: 4, x: 5, y: 4005, vx: -4.08946, vy: 9.69101 );
IDbola:41(  rad: 3, mass: 4, x: 5, y: 4105, vx: -7.35474, vy: 7.44384 );
IDbola:42(  rad: 3, mass: 5, x: 5, y: 4205, vx: -4.72424, vy: 3.58682 );
IDbola:43(  rad: 1, mass: 4, x: 5, y: 4305, vx: -0.310026, vy: 5.00536 );
IDbola:44(  rad: 2, mass: 2, x: 5, y: 4405, vx: 3.87325, vy: 0.565912 );
IDbola:45(  rad: 1, mass: 5, x: 5, y: 4505, vx: -3.01199, vy: -0.823589 );
IDbola:46(  rad: 3, mass: 7, x: 5, y: 4605, vx: -0.302818, vy: -9.49548 );
IDbola:47(  rad: 2, mass: 2, x: 5, y: 4705, vx: 4.75506, vy: 3.49179 );
IDbola:48(  rad: 1, mass: 7, x: 5, y: 4805, vx: -3.91023, vy: -7.09171 );
IDbola:49(  rad: 2, mass: 10, x: 5, y: 4905, vx: -2.52597, vy: -2.02947 );
IDbola:50(  rad: 2, mass: 4, x: 5, y: 5005, vx: -2.77766, vy: -5.97219 );
IDbola:51(  rad: 1, mass: 9, x: 5, y: 5105, vx: -3.27461, vy: 8.97009 );
IDbola:52(  rad: 3, mass: 2, x: 5, y: 5205, vx: -6.65575, vy: 8.26773 );
IDbola:53(  rad: 2, mass: 1, x: 5, y: 5305, vx: -0.534088, vy: 2.68573 );
IDbola:54(  rad: 3, mass: 5, x: 5, y: 5405, vx: -0.0558088, vy: 6.48576 );
IDbola:55(  rad: 1, mass: 1, x: 5, y: 5505, vx: 0.718134, vy: -1.77814 );
IDbola:56(  rad: 3, mass: 5, x: 5, y: 5605, vx: 2.69854, vy: -7.77836 );
IDbola:57(  rad: 2, mass: 2, x: 5, y: 5705, vx: 6.66113, vy: 4.59405 );
